Station_Name,Station_Id_C,Lat,Lon,Alti,Year,Mon,Day,Hour,TEM,DPT,RHU,PRE_1h,WIN_D_INST,WIN_S_INST,GST
龙门,59290,23.7808,114.2483,85.5,2020,9,1,0,26.7,25.4,93,0,355,2,30.1
定安,59851,19.6672,110.3378,53.3,2020,9,1,0,26.9,24.6,87,0,287,2,31
浦北,59448,22.2667,109.55,69.6,2020,9,1,0,27.2,24.7,86,0,138,0.3,28.3
诏安,59320,23.75,117.1333,37.8,2020,9,1,0,29.3,24.4,75,0,262,3.3,38.9
共青城,58604,29.2167,115.8333,11.6,2020,9,1,0,28.1,24.1,79,0,309,3.2,29.9
泰顺,58746,27.55,119.7,538.9,2020,9,1,0,28,19.8,61,0,348,8.6,33.7
古田,58836,26.5833,118.7333,361.5,2020,9,1,0,25.3,23.4,89,0,289,2,29.1
连南,59071,24.7322,112.2778,174.3,2020,9,1,0,26.3,22.1,78,0,124,0.6,32.2
临海,58660,28.8667,121.1833,6.6,2020,9,1,0,29,23,70,0,316,4.8,30
璧山,57514,29.5833,106.2167,331.5,2020,9,1,0,24.8,20.5,77,0,122,0.9,29.8
田林,59017,24.2667,106.2667,278.2,2020,9,1,0,23.3,22.1,93,0,295,2,25.4
广南,59007,24.0536,105.0519,1249.6,2020,9,1,0,17.8,17.5,98,0,271,1.7,20.1
绥江,56483,28.5833,103.95,496.6,2020,9,1,0,21.7,21.4,98,0,999017,0,23.3
双峰,57774,27.4486,112.1733,100,2020,9,1,0,26.5,21.5,74,0,21,2.4,34.2
耒阳,57876,26.4278,112.8294,135,2020,9,1,0,26.3,23,82,0,235,1.6,29.8
汇川,57712,27.7328,106.9494,983.5,2020,9,1,0,21.9,20.2,90,0,347,1.7,26.6
吴川,59656,21.4058,110.81,27.3,2020,9,1,0,28,26.5,92,0,350,2.1,31.1
诸暨,58550,29.7,120.25,39.1,2020,9,1,0,28.2,25.2,84,0,345,5.5,28.7
平果,59228,23.2833,107.5667,146.4,2020,9,1,0,27.4,23.6,80,0,315,4.4,31.9
巴南,57518,29.3333,106.5,506.1,2020,9,1,0,23.2,18.9,77,0,53,0.7,26.1
麻江,57828,26.5,107.5833,983.8,2020,9,1,0,21,18.9,88,0,42,0.6,25.7
临武,57978,25.2731,112.5464,292,2020,9,1,0,27.5,20.6,66,0,337,1.6,29.7
通海,56878,24.1333,102.75,1801.8,2020,9,1,0,14.9,14.6,98,0,315,2,16.5
福安,58748,27.1,119.65,50.5,2020,9,1,0,29,23,70,0,323,3.5,33
新余,57796,27.8333,114.8833,189.3,2020,9,1,0,28.5,24.7,80,0,313,3.1,36.6
凯里,57825,26.6,107.9833,720.3,2020,9,1,0,22.2,18.8,81,0,37,1.8,28.6
柳江,59047,24.2333,109.2833,133.7,2020,9,1,0,27.5,22.5,74,0,343,1,33.1
雅安,56287,29.9833,103,627.6,2020,9,1,0,21.1,19.4,90,0,201,1.7,21
琼山,59757,20,110.3667,9.9,2020,9,1,0,29.8,25.8,79,0,349,2.8,31.9
宁明,59427,22.1167,107.0333,168.4,2020,9,1,0,25.7,24.7,94,0,255,1.1,30.2
清远,59280,23.7106,113.085,79.2,2020,9,1,0,29.3,27.2,89,0,26,1,31.8
揭西,59306,23.4497,115.8492,80.9,2020,9,1,0,28.3,26.4,90,0,282,3.1,30.9
三都,57923,25.9814,107.8733,447.8,2020,9,1,0,22.4,21.6,95,0,100,1.9,24.9
洪雅,56380,29.8764,103.3581,571.2,2020,9,1,0,19.3,19.1,99,0,349,0.8,20.4
衡阳,57872,26.8892,112.5958,104.9,2020,9,1,0,28.5,22.7,71,0,999017,0,33.1
洪湖,57581,29.8122,113.4422,24.7,2020,9,1,0,28.4,23.5,75,0,340,1.3,32.1
宁都,58806,26.4833,116.0167,209.1,2020,9,1,0,25.7,23.6,88,0,292,0.8,28.5
湘乡,57772,27.75,112.5061,86.9,2020,9,1,0,26.4,23.1,82,0,275,0.9,32.5
夏坪,57883,26.75,114.2833,253,2020,9,1,0,27.6,24,81,0,177,1.1,31.7
会泽,56684,26.4022,103.2486,2188.3,2020,9,1,0,13.1,11.3,89,0,205,5.6,15.2
兴义,57907,25.0833,104.9,1299.6,2020,9,1,0,19.9,17.9,88,0,339,2.6,20.9
南丹,59022,24.9833,107.55,749.5,2020,9,1,0,20.8,20.1,96,0,343,1.1,23.6
金沙,57714,27.4667,106.2333,942,2020,9,1,0,20.5,18.8,90,0,289,1.9,22
鹤山,59473,22.7372,112.9811,47.3,2020,9,1,0,28.6,26.7,90,0,270,1.4,33
富顺,56399,29.1833,104.9833,306.2,2020,9,1,0,22.8,21.4,92,0,275,0.5,28
梧州,59265,23.4833,111.3,114.8,2020,9,1,0,27.2,25.4,90,0,304,0.4,30.3
鹤峰,57543,29.8839,110.0253,539.8,2020,9,1,0,22.9,20.4,86,0,244,1.2,26.3
来宾,59242,23.7667,109.15,96.7,2020,9,1,0,26.4,23.7,85,0,62,1.1,30.4
玉环,58667,28.0833,121.2667,95.9,2020,9,1,0,28.3,22.1,69,0,323,12.3,27.4
隆安,59229,23.1667,107.7,125.7,2020,9,1,0,26.6,24.1,86,0,323,4.1,30
南县,57574,29.3517,112.4317,40.3,2020,9,1,0,26.8,24.1,85,0,347,2.7,32
南康,57992,25.6667,114.7333,127,2020,9,1,0,26.5,24,86,0,211,1.2,30.5
涪陵,57522,29.7333,107.2667,372.8,2020,9,1,0,24.4,20.7,80,0,326,2.1,27.7
增城,59294,23.3353,113.8275,30.7,2020,9,1,0,27.5,27.3,99,0,17,2.4,31.7
丰城,58609,28.2333,115.8167,27,2020,9,1,0,29.4,24.7,76,0,338,2.4,35.6
屏南,58933,26.9167,118.9833,869.5,2020,9,1,0,25.2,20.7,76,0,31,5.7,28.6
上杭,58918,25.05,116.4167,198,2020,9,1,0,26.4,23.9,86,0,312,1.6,30.9
峡江,58704,27.5833,115.35,104.5,2020,9,1,0,27.7,24.9,85,0,282,3.1,31.1
布拖,56580,27.7167,102.8,2460,2020,9,1,0,14.7,14.7,100,0,999017,0,17
乌当,57915,26.6306,106.7583,1103.5,2020,9,1,0,21.2,18.4,84,0,115,1.5,25.8
南川,57519,29.1667,107.1167,698.8,2020,9,1,0,22.4,19.2,82,0,91,1.3,25
南平,58834,26.6333,118.1667,152.2,2020,9,1,0,25.5,23.2,87,0,43,1.9,28.6
