Station_Id_C,Lat,Lon,Alti,TEM,DPT,RHU,PRE_1h,WIN_D_INST,WIN_S_INST,GST
58903,25.9167,116.0167,289.8,23.8,23.5,98,0.0,309,0.9,25.2
56475,28.65,102.5167,1659.5,20.2,18.3,89,0.0,65,1.4,19.6
58565,29.7,121.3833,41.5,27.9,23.1,75,0.0,322,9.5,28.0
58918,25.05,116.4167,198.0,26.3,24.2,88,0.0,164,1.4,26.0
59640,21.6667,109.1833,5.5,34.9,24.8,56,0.0,349,1.3,45.4
59426,22.6167,107.9167,146.1,29.9,22.9,66,0.0,343,0.7,27.4
56985,23.4444,103.3278,1313.6,18.2,17.4,95,0.0,22,1.3,16.9
57922,25.8325,107.5481,1013.8,28.0,15.3,46,0.0,83,3.2,44.3
59631,21.7833,108.35,32.4,35.3,23.3,50,0.0,11,3.1,48.2
57523,29.9006,107.7594,393.5,27.5,21.8,71,0.0,183,2.5,27.9
59015,24.3833,106.5333,544.6,22.2,21.0,93,0.0,999017,0.0,22.7
57661,28.9133,111.4797,48.7,32.7,21.6,52,0.0,89,2.4,40.2
59284,23.4203,113.2367,38.9,35.3,23.9,52,0.0,329,1.9,41.4
59270,23.9397,112.1903,107.2,33.4,23.7,57,0.0,168,1.5,51.1
57554,29.4014,110.1622,322.2,26.0,22.3,80,0.0,337,0.6,32.1
59238,23.25,108.8333,127.7,31.8,23.1,60,0.0,107,2.9,30.5
59116,24.3439,116.6997,80.1,25.7,25.6,100,0.0,95,1.1,26.5
57975,25.3833,112.2,277.0,27.7,20.3,64,0.0,229,1.9,27.4
59457,22.3167,110.2667,121.6,26.9,24.9,89,0.0,152,2.4,27.4
57839,26.2333,109.1333,568.8,20.3,17.3,83,0.0,233,0.9,20.5
58559,29.15,120.9667,107.6,27.1,24.2,84,0.0,307,6.8,25.7
56497,28.1092,104.2425,448.8,32.2,22.3,56,0.0,73,1.3,43.4
57899,26.8167,114.8833,103.4,29.0,24.3,76,0.0,62,1.3,29.8
59954,18.55,110.0333,35.2,27.5,25.3,88,0.0,333,2.3,30.6
58844,26.15,119.15,57.8,25.4,24.2,93,0.0,262,2.9,24.4
58543,29.6167,119.0167,171.4,33.9,22.7,52,0.0,289,4.1,60.2
59038,24.0167,108.65,147.5,26.6,24.1,86,0.0,104,1.7,28.1
58619,27.9,116.2667,73.7,26.6,26.1,97,0.0,250,1.8,25.7
58569,29.2,121.95,128.4,26.4,23.5,84,0.0,317,7.2,25.2
56996,23.1258,104.7014,1093.4,30.1,20.1,55,0.0,183,2.3,46.8
58750,27.7833,120.0833,105.4,26.9,22.3,76,0.0,334,1.1,25.2
58502,29.6667,116.0167,74.8,31.3,24.4,67,0.0,275,4.6,49.2
57956,25.4281,110.3397,191.0,33.3,20.5,47,0.0,56,1.5,34.3
58556,29.6,120.8167,104.3,26.2,24.2,89,0.0,357,2.1,24.4
57517,29.2833,106.25,261.4,25.7,22.0,80,0.0,207,1.9,27.7
57907,25.0833,104.9,1299.6,30.4,17.5,46,0.0,161,2.8,49.5
56490,28.9508,103.8983,424.0,26.6,22.7,79,0.0,269,1.1,26.6
59492,23.0261,114.6683,85.0,25.6,24.1,92,0.0,79,2.2,25.2
57875,26.755,112.6914,137.0,35.9,21.0,42,0.0,339,1.8,50.5
57905,25.4025,105.6125,1184.9,20.2,16.6,80,0.0,265,2.1,18.4
57673,28.7283,112.9253,63.0,31.0,24.1,67,0.0,347,6.8,46.4
59211,23.9,106.6,174.7,24.5,24.3,99,0.0,317,2.9,24.3
56578,27.0667,102.75,993.6,30.1,19.8,54,0.0,28,1.4,28.9
58742,28.1,119.5667,163.0,35.0,19.8,41,0.0,44,1.4,48.2
56987,22.7833,103.2333,1260.0,19.3,17.1,87,0.0,107,1.0,18.0
56399,29.1833,104.9833,306.2,24.5,22.0,86,0.0,360,2.0,23.9
57921,25.8461,107.3456,821.2,18.5,18.5,100,0.0,51,0.6,20.1
58706,27.4167,115.8333,181.8,24.4,24.1,98,0.0,999017,0.2,25.1
58742,28.1,119.5667,163.0,29.9,22.4,64,0.0,187,1.1,30.7
57589,29.2739,113.8786,146.2,28.5,20.8,63,0.0,354,4.0,29.1
58755,27.495,120.3875,118.7,32.7,21.2,51,0.0,301,2.6,32.0
56785,25.3558,103.0775,1915.7001,12.6,12.4,99,0.0,999017,0.0,13.0
59429,22.1833,108.0167,216.0,27.9,24.3,81,0.0,999017,0.0,29.5
59052,24.8333,110.8167,169.6,35.7,19.2,38,0.0,37,2.8,49.5
58565,29.7,121.3833,41.5,27.1,23.6,81,0.0,301,5.4,25.1
